ORDER_ID|ORDER_DATE|CUSTOMER_ID|PRODUCT_CODE|QUANTITY|UNIT_PRICE|SALES_AMOUNT|CURRENCY|REGION
NS-100114|2026-08-16|CUST-2114|PC-1010|4|41.99|167.96|USD|NA
NS-100115|2026-08-25|CUST-2115|PC-1014|4|157.03|628.12|USD|APAC
NS-100116|2026-08-07|CUST-2116|PC-1011|5|117.01|585.05|USD|LATAM
NS-100117|2026-08-09|CUST-2117|PC-1013|4|72.20|288.80|USD|LATAM
NS-100118|2026-08-09|CUST-2118|PC-1004|5|126.29|631.45|USD|APAC
NS-100119|2026-08-09|CUST-2119|PC-1004|1|181.24|181.24|USD|LATAM
NS-100120|2026-08-04|CUST-2120|PC-1002|3|224.32|672.96|USD|APAC
NS-100121|2026-08-06|CUST-2121|PC-1011|2|101.92|203.84|EUR|EMEA
NS-100122|2026-08-12|CUST-2122|PC-1008|1|109.56|109.56|EUR|EMEA
NS-100123|2026-08-28|CUST-2123|PC-1006|4|24.93|99.72|USD|LATAM
NS-100124|2026-08-02|CUST-2124|PC-1013|5|237.04|1185.20|USD|LATAM
NS-100125|2026-08-13|CUST-2125|PC-1004|4|11.41|45.64|USD|LATAM
NS-100126|2026-08-25|CUST-2126|PC-1008|4|139.16|556.64|USD|LATAM
NS-100127|2026-08-15|CUST-2127|PC-1007|4|62.65|250.60|EUR|EMEA
NS-100128|2026-08-23|CUST-2128|PC-1012|4|90.66|362.64|USD|NA
NS-100129|2026-08-31|CUST-2129|PC-1002|2|211.71|423.42|USD|LATAM
NS-100130|2026-08-23|CUST-2130|PC-1000|4|152.04|608.16|USD|NA
NS-100131|2026-08-16|CUST-2131|PC-1002|4|42.56|170.24|USD|NA
NS-100132|2026-08-08|CUST-2132|PC-1007|3|100.97|302.91|USD|NA
NS-100133|2026-08-14|CUST-2133|PC-1004|3|192.69|578.07|USD|APAC
NS-100134|2026-08-17|CUST-2134|PC-1000|3|210.37|631.11|USD|LATAM
NS-100135|2026-08-04|CUST-2135|PC-1012|3|63.80|191.40|USD|NA
NS-100136|2026-08-08|CUST-2136|PC-1013|1|237.90|237.90|USD|NA
NS-100137|2026-08-06|CUST-2137|PC-1007|5|46.56|232.80|USD|NA
NS-100138|2026-08-16|CUST-2138|PC-1011|5|237.45|1187.25|USD|NA
NS-100139|2026-08-21|CUST-2139|PC-1011|3|50.26|150.78|USD|APAC
NS-100140|2026-08-05|CUST-2140|PC-1009|2|241.52|483.04|USD|NA
NS-100141|2026-08-31|CUST-2141|PC-1006|3|148.18|444.54|USD|NA
NS-100142|2026-08-24|CUST-2142|PC-1013|2|28.23|56.46|USD|LATAM
NS-100143|2026-08-11|CUST-2143|PC-1013|1|177.32|177.32|EUR|EMEA
NS-100144|2026-08-13|CUST-2144|PC-1008|5|197.82|989.10|USD|NA
NS-100145|2026-08-22|CUST-2145|PC-1005|3|26.54|79.62|USD|LATAM
NS-100146|2026-08-05|CUST-2146|PC-1006|4|207.35|829.40|USD|NA
NS-100147|2026-08-15|CUST-2147|PC-1002|4|179.74|718.96|USD|APAC
NS-100148|2026-08-19|CUST-2148|PC-1012|5|203.96|1019.80|USD|APAC
NS-100149|2026-08-25|CUST-2149|PC-1009|4|114.53|458.12|USD|LATAM
